Species,mg/m2,0.0033,0.0066,0.0131,0.0175,0.0263,0.0525,0.1050,0.42,0.84,1.68,3.36,6.72,13.44,26.88,53.76,107.52,215.04,430.08,860.16
,dead,0,0,2,3,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6
"Philonthus coprophilus Jarrige, 1949",living,8,8,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,dead,0,0,2,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8
"Ph. decorus (Gravenhorst, 1802)",living,6,6,6,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,dead,0,0,0,1,1,3,6,6,6,6,6,6,6,6,6,6,6,6,6
"Ph. nitidus (Fabricius, 1787)",living,6,6,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,dead,0,0,2,3,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6
"Ph. carbonarius (Gravenhorst, 1802)",living,8,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,dead,0,2,3,5,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Ph. cruentatus (Gmelin, 1790)",living,8,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,dead,0,1,2,5,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"Ontholestes murinus (Linnaeus, 1758)",living,6,6,6,6,6,4,2,2,0,0,0,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,2,4,4,6,6,6,6,6,6,6,6,6,6,6
"Silpha carinata Herbst, 1783",living,8,8,8,8,8,6,3,3,2,0,0,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,2,5,5,6,8,8,8,8,8,8,8,8,8,8
"Phosphuga atrata (Linnaeus, 1758)",living,6,6,6,6,6,5,4,2,0,0,0,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,1,2,4,6,6,6,6,6,6,6,6,6,6,6
"Hister fenestus Erichson, 1834",living,6,6,6,6,6,6,6,6,6,4,3,2,2,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,0,0,2,3,4,4,6,6,6,6,6,6
"Aphodius foetens (Fabricius, 1787)",living,6,6,6,6,6,6,6,5,3,3,2,0,0,0,0,0,0,0,0
,dead,0,0,0,0,0,0,0,1,3,3,4,6,6,6,6,6,6,6,6
"Teuchestes fossor (Linnaeus, 1758)",living,8,8,8,8,8,8,8,8,6,5,3,2,2,0,0,0,0,0,0
